Stage 1:
X[23]: Real = 0x000055D3, Imag = 0xFFFFBC71
X[24]: Real = 0xFFFFBA00, Imag = 0x00003600
X[25]: Real = 0xFFFFEC11, Imag = 0x00001F5C
X[26]: Real = 0xFFFFEB33, Imag = 0xFFFFF0E4
X[27]: Real = 0xFFFFBA37, Imag = 0xFFFFDEFB
X[28]: Real = 0xFFFF8B54, Imag = 0x000007C7
X[29]: Real = 0xFFFF8EB9, Imag = 0x00004D63
X[30]: Real = 0xFFFFC9F9, Imag = 0x00007B09
X[31]: Real = 0x00000CEB, Imag = 0x00006C74

Stage 3:
X[ 0]: Real = 0x00001700, Imag = 0x00000000
X[ 1]: Real = 0x00004700, Imag = 0x00000000
X[ 2]: Real = 0x00006D00, Imag = 0x00000000
X[ 3]: Real = 0x00008200, Imag = 0x00000000
X[ 4]: Real = 0xFFFF7100, Imag = 0x00000000
X[ 5]: Real = 0xFFFFAA71, Imag = 0x0000558E
X[ 6]: Real = 0x00000000, Imag = 0x00004F00
X[ 7]: Real = 0x00000F8E, Imag = 0x00000F8E
X[ 8]: Real = 0x00030400, Imag = 0xFFFDE500
X[ 9]: Real = 0x00033872, Imag = 0xFFFE01A7
X[10]: Real = 0x00036503, Imag = 0xFFFDFF5A
X[11]: Real = 0x00037892, Imag = 0xFFFDEDAD
X[12]: Real = 0x00030400, Imag = 0x00021B00
X[13]: Real = 0x0001FE57, Imag = 0xFFFCC792
X[14]: Real = 0xFFFC9AFC, Imag = 0xFFFDFF5B
X[15]: Real = 0xFFFDEDB3, Imag = 0x00037890
X[16]: Real = 0x00002EAB, Imag = 0xFFFFD1C6
X[17]: Real = 0x00006289, Imag = 0xFFFFDE8A
X[18]: Real = 0x00008A25, Imag = 0xFFFFDEC4
X[19]: Real = 0x00009E84, Imag = 0xFFFFD66F
X[20]: Real = 0xFFFF4555, Imag = 0xFFFFC23A
X[21]: Real = 0xFFFF9341, Imag = 0x00008534
X[22]: Real = 0x00004AD4, Imag = 0x00006BED
X[23]: Real = 0x00004B6F, Imag = 0xFFFFC723
X[24]: Real = 0xFFFF4554, Imag = 0x00003DC7
X[25]: Real = 0xFFFF7ACA, Imag = 0x00006CBF
X[26]: Real = 0xFFFFB52C, Imag = 0x00006BED
X[27]: Real = 0xFFFFC722, Imag = 0x00004B6F
X[28]: Real = 0x00002EAC, Imag = 0x00002E39
X[29]: Real = 0x00002175, Imag = 0xFFFF9D73
X[30]: Real = 0xFFFF75DB, Imag = 0xFFFFDEC6
X[31]: Real = 0xFFFFD671, Imag = 0x00009E83

Stage 4:
X[ 0]: Real = 0x00008400, Imag = 0x00000000
X[ 1]: Real = 0x0000C900, Imag = 0x00000000
X[ 2]: Real = 0xFFFFAA00, Imag = 0x00000000
X[ 3]: Real = 0x00000000, Imag = 0x00003B00
X[ 4]: Real = 0xFFFF7100, Imag = 0x00004F00
X[ 5]: Real = 0xFFFFB9FF, Imag = 0x0000651C
X[ 6]: Real = 0xFFFF7100, Imag = 0xFFFFB100
X[ 7]: Real = 0x00004600, Imag = 0x0000651D
X[ 8]: Real = 0x00066903, Imag = 0xFFFBE45A
X[ 9]: Real = 0x0006B104, Imag = 0xFFFBEF54
X[10]: Real = 0xFFFF9EFD, Imag = 0xFFFFE5A6
X[11]: Real = 0x000013FA, Imag = 0x00004020
X[12]: Real = 0xFFFF9EFC, Imag = 0x00001A5B
X[13]: Real = 0xFFFFEC0A, Imag = 0x00004022
X[14]: Real = 0x00066904, Imag = 0x00041BA5
X[15]: Real = 0xFFF94F02, Imag = 0xFFFBEF5C
X[16]: Real = 0x0000B8D0, Imag = 0xFFFFB08A
X[17]: Real = 0x0001010D, Imag = 0xFFFFB4F9
X[18]: Real = 0xFFFFA486, Imag = 0xFFFFF302
X[19]: Real = 0x0000081B, Imag = 0x00003BFB
X[20]: Real = 0xFFFF9029, Imag = 0x00002E27
X[21]: Real = 0xFFFFDEB0, Imag = 0x00004C57
X[22]: Real = 0xFFFEFA81, Imag = 0xFFFF564D
X[23]: Real = 0x0000BE11, Imag = 0x0000B82E
X[24]: Real = 0xFFFEFA80, Imag = 0x0000A9B4
X[25]: Real = 0xFFFF41EC, Imag = 0x0000B82E
X[26]: Real = 0xFFFF9028, Imag = 0xFFFFD1DA
X[27]: Real = 0x00002150, Imag = 0x00004C58
